seccion;P_kN;paso;phi_1_m;M_kNm
columna_70x70;0,0;349;0,0020939999999999835;564,5739716086225
columna_70x70;0,0;350;0,0020999999999999834;565,2708580493603
columna_70x70;0,0;351;0,0021059999999999833;565,9676810730979
columna_70x70;0,0;352;0,0021119999999999832;566,6644406583853
columna_70x70;0,0;353;0,0021179999999999827;567,3611367837547
columna_70x70;0,0;354;0,0021239999999999827;568,0577694277331
columna_70x70;0,0;355;0,0021299999999999826;568,7543385688248
columna_70x70;0,0;356;0,0021359999999999825;569,4508441855266
columna_70x70;0,0;357;0,0021419999999999825;570,1472862563211
columna_70x70;0,0;358;0,002147999999999982;570,8436647596739
columna_70x70;0,0;359;0,002153999999999982;571,5399796740395
columna_70x70;0,0;360;0,002159999999999982;572,236230977859
columna_70x70;0,0;361;0,0021659999999999817;572,9324186495595
columna_70x70;0,0;362;0,0021719999999999817;573,628542667554
columna_70x70;0,0;363;0,0021779999999999816;574,3246030102416
columna_70x70;0,0;364;0,0021839999999999815;575,0205996560086
columna_70x70;0,0;365;0,0021899999999999815;575,7165325832267
columna_70x70;0,0;366;0,0021959999999999814;576,4124017702542
columna_70x70;0,0;367;0,0022019999999999813;577,108207195437
columna_70x70;0,0;368;0,0022079999999999812;577,8039488371045
columna_70x70;0,0;369;0,002213999999999981;578,4996266735749
columna_70x70;0,0;370;0,0022199999999999807;579,1952406831517
columna_70x70;0,0;371;0,0022259999999999806;579,8907908441242
columna_70x70;0,0;372;0,0022319999999999805;580,5862771347685
columna_70x70;0,0;373;0,0022379999999999805;581,2816995333459
columna_70x70;0,0;374;0,0022439999999999804;581,9770580181068
columna_70x70;0,0;375;0,00224999999999998;582,6457925080541
columna_70x70;0,0;376;0,00225599999999998;583,2969723530765
columna_70x70;0,0;377;0,0022619999999999797;583,9481051316227
columna_70x70;0,0;378;0,0022679999999999797;584,5991908281552
columna_70x70;0,0;379;0,0022739999999999796;585,2502294271881
columna_70x70;0,0;380;0,0022799999999999795;585,9012209132248
columna_70x70;0,0;381;0,0022859999999999795;586,5521652707614
columna_70x70;0,0;382;0,0022919999999999794;587,2030624842799
columna_70x70;0,0;383;0,0022979999999999793;587,8539125382591
columna_70x70;0,0;384;0,0023039999999999792;588,5047154171626
columna_70x70;0,0;385;0,002309999999999979;589,155471105448
columna_70x70;0,0;386;0,002315999999999979;589,8061795875609
columna_70x70;0,0;387;0,0023219999999999786;590,4568408479383
columna_70x70;0,0;388;0,0023279999999999785;591,1074548710089
columna_70x70;0,0;389;0,0023339999999999785;591,7580216411884
columna_70x70;0,0;390;0,0023399999999999784;592,4085411428869
columna_70x70;0,0;391;0,0023459999999999783;593,0590133605003
