curva;seccion;modelo;punto;P_kN;M_kNm
pm_muro_30x356;muro_30x356;HA;105;6632,982541105859;27098,224724314172
pm_muro_30x356;muro_30x356;HA;106;6695,378555360385;27154,259964564673
pm_muro_30x356;muro_30x356;HA;107;6757,688963091217;27209,85982881122
pm_muro_30x356;muro_30x356;HA;108;6819,915770701256;27265,02546860749
pm_muro_30x356;muro_30x356;HA;109;6882,060922379357;27319,757999800055
pm_muro_30x356;muro_30x356;HA;110;6944,126302493179;27374,05850390175
pm_muro_30x356;muro_30x356;HA;111;7006,113737872437;27427,92802940211
pm_muro_30x356;muro_30x356;HA;112;7068,024999988375;27481,367593018258
pm_muro_30x356;muro_30x356;HA;113;7130,22594196104;27534,370898190857
pm_muro_30x356;muro_30x356;HA;114;7193,300147810414;27586,927263279762
pm_muro_30x356;muro_30x356;HA;115;7256,283772832389;27639,05692588481
pm_muro_30x356;muro_30x356;HA;116;7319,178815133455;27690,76077849358
pm_muro_30x356;muro_30x356;HA;117;7381,987214481219;27742,039687535584
pm_muro_30x356;muro_30x356;HA;118;7444,7108544181465;27792,894494326458
pm_muro_30x356;muro_30x356;HA;119;7507,3515642840375;27843,326015971314
pm_muro_30x356;muro_30x356;HA;120;7569,911121151845;27893,335046229415
pm_muro_30x356;muro_30x356;HA;121;7632,391251681104;27942,922356342006
pm_muro_30x356;muro_30x356;HA;122;7694,793633893049;27992,088695825256
pm_muro_30x356;muro_30x356;HA;123;7757,1198988712595;28040,834793229802
pm_muro_30x356;muro_30x356;HA;124;7819,37163239144;28089,161356868815
pm_muro_30x356;muro_30x356;HA;125;7881,550376483755;28137,06907551576
pm_muro_30x356;muro_30x356;HA;126;7943,65763093097;28184,558619073614
pm_muro_30x356;muro_30x356;HA;127;8005,694854705434;28231,630639216677
