caso;representante;elementTag;tipo;seccion;piso;L_m;x_local_m;N_kN;V_kN;M_kNm
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;3,1595;0,0;-0,005;0,0711
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;3,204;0,0;-0,005;0,0709
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;3,2485;0,0;-0,005;0,0707
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;3,293;0,0;-0,005;0,0705
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;3,3375;0,0;-0,005;0,0702
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;3,382;0,0;-0,005;0,07
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;3,4265;0,0;-0,005;0,0698
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;3,471;0,0;-0,005;0,0696
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;3,5155;0,0;-0,005;0,0693
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;3,56;0,0;-0,005;0,0691
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;3,6045;0,0;-0,005;0,0689
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;3,649;0,0;-0,005;0,0687
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;3,6935;0,0;-0,005;0,0684
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;3,738;0,0;-0,005;0,0682
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;3,7825;0,0;-0,005;0,068
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;3,827;0,0;-0,005;0,0678
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;3,8715;0,0;-0,005;0,0675
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;3,916;0,0;-0,005;0,0673
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;3,9605;0,0;-0,005;0,0671
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;4,005;0,0;-0,005;0,0669
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;4,0495;0,0;-0,005;0,0666
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;4,094;0,0;-0,005;0,0664
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;4,1385;0,0;-0,005;0,0662
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;4,183;0,0;-0,005;0,066
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;4,2275;0,0;-0,005;0,0657
